profile_code,profile_name,profile_description,source_category_fields_available,matched_keywords,initial_group,confidence,reason,filter_tier,filter_reason,profile_family,recommended_use
1120610,Coal-Fired Power Plant,Plant B sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112062.5,Coal-Fired Power Plant,Plant B sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120630,Coal-Fired Power Plant,Plant B sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11206C,Coal-Fired Power Plant,Plant B sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120710,Coal-Fired Power Plant,Plant C sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112072.5,Coal-Fired Power Plant,Plant C sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120730,Coal-Fired Power Plant,Plant C sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11207C,Coal-Fired Power Plant,Plant C sampled with EPA Method 5 and Andersen impactor. Analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120810,Coal-Fired Power Plant,Samples collected isokinetically using bag filters. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112082.5,Coal-Fired Power Plant,Samples collected isokinetically using bag filters. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120830,Coal-Fired Power Plant,Samples collected isokinetically using bag filters. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11208C,Coal-Fired Power Plant,Samples collected isokinetically using bag filters. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120910,Coal-Fired Power Plant,Samples collected isokinetically using alundum thimbles backed up with wet impingers. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112092.5,Coal-Fired Power Plant,Samples collected isokinetically using alundum thimbles backed up with wet impingers. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1120930,Coal-Fired Power Plant,Samples collected isokinetically using alundum thimbles backed up with wet impingers. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11209C,Coal-Fired Power Plant,Samples collected isokinetically using alundum thimbles backed up with wet impingers. Analyzed by AAS and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121010,Coal-Fired Power Plant,Samples collected isokinetically using EPA train with 12-minute runs. Analyzed by AAS and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112102.5,Coal-Fired Power Plant,Samples collected isokinetically using EPA train with 12-minute runs. Analyzed by AAS and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121030,Coal-Fired Power Plant,Samples collected isokinetically using EPA train with 12-minute runs. Analyzed by AAS and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11210C,Coal-Fired Power Plant,Samples collected isokinetically using EPA train with 12-minute runs. Analyzed by AAS and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121110,Coal-Fired Power Plant,Samples collected with a University of Washington Mark 10 impactor and an MRI Model 1502 impactor. Analyzed by INAA and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112112.5,Coal-Fired Power Plant,Samples collected with a University of Washington Mark 10 impactor and an MRI Model 1502 impactor. Analyzed by INAA and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121130,Coal-Fired Power Plant,Samples collected with a University of Washington Mark 10 impactor and an MRI Model 1502 impactor. Analyzed by INAA and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11211C,Coal-Fired Power Plant,Samples collected with a University of Washington Mark 10 impactor and an MRI Model 1502 impactor. Analyzed by INAA and XRF.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121210,Coal-Fired Power Plant,"Samples collected using ASTM sampling train; two data sets consisting of three 4 to 5-hr runs per set. Analyzed by XRF,GC, flameless AAS, and INAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112122.5,Coal-Fired Power Plant,"Samples collected using ASTM sampling train; two data sets consisting of three 4 to 5-hr runs per set. Analyzed by XRF,GC, flameless AAS, and INAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121230,Coal-Fired Power Plant,"Samples collected using ASTM sampling train; two data sets consisting of three 4 to 5-hr runs per set. Analyzed by XRF,GC, flameless AAS, and INAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11212C,Coal-Fired Power Plant,"Samples collected using ASTM sampling train; two data sets consisting of three 4 to 5-hr runs per set. Analyzed by XRF,GC, flameless AAS, and INAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121310,External Combustion - Coal-Fired Composite,Composite of five coal fired plants in Japan. Samples collected on PTFE filters and analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion,keep_for_v0_source_set
112132.5,External Combustion - Coal-Fired Composite,Composite of five coal fired plants in Japan. Samples collected on PTFE filters and analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion,keep_for_v0_source_set
1121330,External Combustion - Coal-Fired Composite,Composite of five coal fired plants in Japan. Samples collected on PTFE filters and analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion,keep_for_v0_source_set
11213C,External Combustion - Coal-Fired Composite,Composite of five coal fired plants in Japan. Samples collected on PTFE filters and analyzed using XRF and INAA.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion,keep_for_v0_source_set
1121410,Uncontrolled Coal-Fired Power Plant Composite,"Profile represents a composite of Profiles 11202 and 11211 -uncontrolled utility boiler, wet bottom design, firing pulverized bituminous coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,uncontrolled coal,keep_as_reference_or_later
112142.5,Uncontrolled Coal-Fired Power Plant Composite,"Profile represents a composite of Profiles 11202 and 11211 -uncontrolled utility boiler, wet bottom design, firing pulverized bituminous coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,uncontrolled coal,keep_as_reference_or_later
1121430,Uncontrolled Coal-Fired Power Plant Composite,"Profile represents a composite of Profiles 11202 and 11211 -uncontrolled utility boiler, wet bottom design, firing pulverized bituminous coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,uncontrolled coal,keep_as_reference_or_later
11214C,Uncontrolled Coal-Fired Power Plant Composite,"Profile represents a composite of Profiles 11202 and 11211 -uncontrolled utility boiler, wet bottom design, firing pulverized bituminous coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,uncontrolled coal,keep_as_reference_or_later
1121510,Coal-Fired Power Plant/esp Composite,"Profile represents a composite of Profiles 11204, 11205, 11206, 11207, 11208, 11210, and 11212.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
112152.5,Coal-Fired Power Plant/esp Composite,"Profile represents a composite of Profiles 11204, 11205, 11206, 11207, 11208, 11210, and 11212.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1121530,Coal-Fired Power Plant/esp Composite,"Profile represents a composite of Profiles 11204, 11205, 11206, 11207, 11208, 11210, and 11212.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
11215C,Coal-Fired Power Plant/esp Composite,"Profile represents a composite of Profiles 11204, 11205, 11206, 11207, 11208, 11210, and 11212.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
1130110,Coal- And Refuse Derived Fuel (RDF)-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,refuse; coal,coal,high,explicit source match in category field(s),A_core_v0,waste/open burning; coal/lignite; industrial/reference proxy,coal,keep_for_v0_source_set
113012.5,Coal- And Refuse Derived Fuel (RDF)-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,refuse; coal,coal,high,explicit source match in category field(s),A_core_v0,waste/open burning; coal/lignite; industrial/reference proxy,coal,keep_for_v0_source_set
1130130,Coal- And Refuse Derived Fuel (RDF)-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,refuse; coal,coal,high,explicit source match in category field(s),A_core_v0,waste/open burning; coal/lignite; industrial/reference proxy,coal,keep_for_v0_source_set
11301C,Coal- And Refuse Derived Fuel (RDF)-Fired Power Plant,"Sampled with a SASS train. Analyzed using XRF, INAA, and FAA.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,refuse; coal,coal,high,explicit source match in category field(s),A_core_v0,waste/open burning; coal/lignite; industrial/reference proxy,coal,keep_for_v0_source_set
1178,Coal-Fired Boiler - Electric Generation,Not described.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite,coal,keep_as_reference_or_later
1185,Coal-Fired Boiler - Industrial,Stack gas samples collected in Tedlar bags and analyzed by a GC.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite,coal,keep_as_reference_or_later
1220110,External Combustion Boiler - Coal-Slurry Fired,Boiler flue gas SASS train samples analyzed for 73 elements by spark source mass spectroscopy and atomic absorption spectroscopy.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion boiler,keep_for_v0_source_set
122012.5,External Combustion Boiler - Coal-Slurry Fired,Boiler flue gas SASS train samples analyzed for 73 elements by spark source mass spectroscopy and atomic absorption spectroscopy.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion boiler,keep_for_v0_source_set
1220130,External Combustion Boiler - Coal-Slurry Fired,Boiler flue gas SASS train samples analyzed for 73 elements by spark source mass spectroscopy and atomic absorption spectroscopy.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion boiler,keep_for_v0_source_set
12201C,External Combustion Boiler - Coal-Slurry Fired,Boiler flue gas SASS train samples analyzed for 73 elements by spark source mass spectroscopy and atomic absorption spectroscopy.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,external combustion boiler,keep_for_v0_source_set
2120410,Coal Dust,Fugitive dust from storage and handling. Sample sieved and resuspended.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,coal dust,drop_from_v0
212042.5,Coal Dust,Fugitive dust from storage and handling. Sample sieved and resuspended.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,coal dust,drop_from_v0
2120430,Coal Dust,Fugitive dust from storage and handling. Sample sieved and resuspended.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,coal dust,drop_from_v0
21204C,Coal Dust,Fugitive dust from storage and handling. Sample sieved and resuspended.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,coal dust,drop_from_v0
2530210,Charcoal Manufacturing,Average of 2 samples collected with a 2-stage virtual impactor from a Herchoff furnace.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,charcoal manufacturing,drop_from_v0
253022.5,Charcoal Manufacturing,Average of 2 samples collected with a 2-stage virtual impactor from a Herchoff furnace.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,charcoal manufacturing,drop_from_v0
2530230,Charcoal Manufacturing,Average of 2 samples collected with a 2-stage virtual impactor from a Herchoff furnace.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,charcoal manufacturing,drop_from_v0
25302C,Charcoal Manufacturing,Average of 2 samples collected with a 2-stage virtual impactor from a Herchoff furnace.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,charcoal manufacturing,drop_from_v0
2720310,Cement Kiln (Coal-Fired),Average of 2 replicate samples from a single stack collected with a dilution sampler with a 2-stage virtual impactor.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,cement kiln (coal,keep_as_reference_or_later
272032.5,Cement Kiln (Coal-Fired),Average of 2 replicate samples from a single stack collected with a dilution sampler with a 2-stage virtual impactor.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,cement kiln (coal,keep_as_reference_or_later
2720330,Cement Kiln (Coal-Fired),Average of 2 replicate samples from a single stack collected with a dilution sampler with a 2-stage virtual impactor.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,cement kiln (coal,keep_as_reference_or_later
27203C,Cement Kiln (Coal-Fired),Average of 2 replicate samples from a single stack collected with a dilution sampler with a 2-stage virtual impactor.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,cement kiln (coal,keep_as_reference_or_later
3190,Coal Combustion,"Composite of PCHKC03 and PCHKC04, Public Service Company of Colorado, boilers burning coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3191,Coal Combustion,"Public Service Company of Colorado, Cherokee Power Plant, #3 boiler burning coal, baghouse.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,coal combustion,keep_for_v0_source_set
3192,Coal Combustion,"Public Service Company of Colorado, Cherokee Power Plant, #4 boiler burning coal, mechanical collectors, electrostatic precipitator, and wet scrubber.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite; industrial/reference proxy,coal combustion,keep_for_v0_source_set
3193,Coal Combustion,"Composite of PCHKCO3, PCHKCO4 and PCOOR01, composite of boilers burning coal.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3194,Coal Combustion,"Adolph Coors Company, #5 boiler burning coal and brewery sludge, wet scrubber.",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3686,Coal Combustion,Craig Unit 2 samples.  System is fueled with coal from Trapper Mine and is equipped with limestone wet scrubber and electrostatic precipitator.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3687,Coal Combustion,Craig Unit 2 samples.  System is fueled with coal from Trapper Mine and is equipped with limestone wet scrubber and electrostatic precipitator.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3688,Coal Combustion,Craig Unit 2 samples.  System is fueled with coal from Trapper Mine and is equipped with limestone wet scrubber and electrostatic precipitator.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3689,Coal Combustion,Craig Unit 2 samples.  System is fueled with coal from Trapper Mine and is equipped with limestone wet scrubber and electrostatic precipitator.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3690,Coal Combustion,"Composite of four Craig Unit 2 samples (MZCG2PP1, MZCG2PP2, MZCG2PP3, and MZCG2PP4).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3691,Coal Combustion,Craig Unit 3 samples.  System is fueled with coal from Colowyo Mine and is equipped with dry lime scrubber and fabric baghouse.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
3692,Coal Combustion,Craig Unit 3 samples.  System is fueled with coal from Colowyo Mine and is equipped with dry lime scrubber and fabric baghouse.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; rubber,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
