filter_tier,initial_group,profile_family,rows,example_profile_name,reasons
A_core_v0,wood/biomass,composite of residential wood burning sources,4,Composite of Residential Wood Burning Sources,residential/heating
A_core_v0,wood/biomass,composite profile,4,Composite Profile - Forest Fires,transport exhaust; waste/open burning; wildfire/agri biomass proxy
A_core_v0,wood/biomass,residential wood combustion composite,4,Residential Wood Combustion Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,residential woodstove composite,4,Residential Woodstove Composite,residential/heating
A_core_v0,wood/biomass,sugar cane pre,4,Sugar Cane Pre-Harvest Burning Florida,transport exhaust; wildfire/agri biomass proxy
A_core_v0,wood/biomass,wood combustion,4,Wood Combustion - Las Vegas Valley (1987),residential/heating; transport exhaust
A_core_v0,fuel oil/diesel,diesel vehicle,3,Diesel Vehicle,fuel oil
A_core_v0,fuel oil/diesel,distillate oil combustion,3,Distillate Oil Combustion,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,gasoline exhaust,3,Gasoline Exhaust,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel marine,3,Nonroad Diesel Marine,fuel oil
A_core_v0,fuel oil/diesel,nonroad residual oil marine,3,Nonroad Residual Oil Marine,fuel oil
A_core_v0,fuel oil/diesel,onroad diesel dpf,3,Onroad Diesel DPF,fuel oil
A_core_v0,waste/open burning,garbage burning,3,Garbage Burning,waste/open burning
A_core_v0,wood/biomass,residential vegetative burning,3,Residential Vegetative Burning,residential/heating; wildfire/agri biomass proxy
A_core_v0,coal,draft bituminous coal combustion,2,Draft Bituminous Coal Combustion - Composite,coal/lignite; transport exhaust
A_core_v0,coal,draft pmso2controlledlignitecombustion,2,Draft PMSO2ControlledLigniteCombustion - Composite,coal/lignite; transport exhaust
A_core_v0,coal,draft residential coal combustion,2,Draft Residential Coal Combustion - Composite,coal/lignite; residential/heating; transport exhaust
A_core_v0,coal,draft subbituminouscombustion,2,Draft SubBituminousCombustion - Composite,coal/lignite; transport exhaust
A_core_v0,coal,lignite combustion,2,Lignite Combustion - Composite,coal/lignite; transport exhaust
A_core_v0,coal,sub,2,Sub-Bituminous Combustion - Composite,coal/lignite; transport exhaust
A_core_v0,fuel oil/diesel,diesel exhaust emissions from pre,2,Diesel Exhaust Emissions from Pre-2007 Model Year Heavy-Duty Diesel Trucks,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,draft lddv exhaust,2,Draft LDDV Exhaust - Composite,fuel oil
A_core_v0,fuel oil/diesel,external combustion boiler,2,External Combustion Boiler - Residual Oil,fuel oil; industrial/reference proxy; transport exhaust
A_core_v0,fuel oil/diesel,gasoline headspace vapor,2,Gasoline Headspace Vapor - Circle K Diesel - not adjusted for oxygenates,fuel oil
A_core_v0,fuel oil/diesel,hddv exhaust,2,HDDV Exhaust - Composite,fuel oil
A_core_v0,fuel oil/diesel,heavy duty diesel exhaust,2,Heavy Duty Diesel Exhaust - Euro3,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,lddv exhaust,2,LDDV Exhaust - Composite,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel airport,2,Nonroad Diesel Airport,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel pre,2,Nonroad Diesel Pre-Tier 1,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel tier 1,2,Nonroad Diesel Tier 1,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel tier 2,2,Nonroad Diesel Tier 2-3,fuel oil
A_core_v0,fuel oil/diesel,onroad diesel 2010+,2,Onroad Diesel 2010+,fuel oil
A_core_v0,fuel oil/diesel,passenger ferry,2,Passenger ferry - four-stroke diesel engines,fuel oil
A_core_v0,fuel oil/diesel,volatility resolved liquid diesel,2,Volatility Resolved Liquid Diesel - California composite,fuel oil
A_core_v0,waste/open burning,cons prd,2,CONS PRD- TIRE CLEANER AND WHEEL CLEANER (2010 UPDATE),waste/open burning
A_core_v0,waste/open burning,consumer products: rubber and vinyl protectants,2,Consumer Products: Rubber And Vinyl Protectants - Aerosols,waste/open burning
A_core_v0,waste/open burning,dry mill fuel ethanol production,2,Dry Mill Fuel Ethanol Production - distillation scrubber,waste/open burning
A_core_v0,waste/open burning,industrial dust,2,Industrial Dust,waste/open burning
A_core_v0,waste/open burning,paper waste burning,2,Paper Waste Burning,waste/open burning
A_core_v0,wood/biomass,agricultural burning,2,Agricultural Burning - Rice Straw,waste/open burning; wildfire/agri biomass proxy
A_core_v0,wood/biomass,draft residential wood combustion: eucalyptus,2,Draft Residential Wood Combustion: Eucalyptus - Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: hard,2,Draft Residential Wood Combustion: Hard - Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: hardsoft,2,Draft Residential Wood Combustion: HardSoft - Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: hardsoftn/a,2,Draft Residential Wood Combustion: HardSoftN/A - Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: soft,2,Draft Residential Wood Combustion: Soft - Composite,residential/heating; transport exhaust
A_core_v0,wood/biomass,forest fire understory,2,Forest Fire Understory-Flaming-Minnesota AE6,transport exhaust; wildfire/agri biomass proxy
A_core_v0,wood/biomass,outdoor hydronic heater,2,"Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak",residential/heating; transport exhaust
A_core_v0,wood/biomass,residential coal combustion,2,Residential Coal Combustion,coal/lignite; residential/heating; transport exhaust
A_core_v0,wood/biomass,"residential wood combustion – noncatalytic woodstove, hardwood",2,"Residential Wood Combustion – Noncatalytic Woodstove, Hardwood",residential/heating; transport exhaust
A_core_v0,coal,"anthracite waste, fluidized bed combustor with ff baghouse",1,"Anthracite Waste, Fluidized Bed Combustor with FF Baghouse",coal/lignite; transport exhaust
A_core_v0,coal,bituminous coal combustion,1,Bituminous Coal Combustion - Simplified,coal/lignite; transport exhaust
A_core_v0,coal,"bituminous coal/pet. coke, fluidized bed combustor with sncr and ff baghouse",1,"Bituminous Coal/Pet. Coke, Fluidized Bed Combustor with SNCR and FF Baghouse",coal/lignite; transport exhaust
A_core_v0,coal,bituminous combustion,1,Bituminous Combustion - Composite,coal/lignite; transport exhaust
A_core_v0,coal,"bituminous waste, fluidized bed combustor with ff baghouse",1,"Bituminous Waste, Fluidized Bed Combustor with FF Baghouse",coal/lignite; transport exhaust
A_core_v0,coal,draft pmcontrolledlignitecombustion,1,Draft PMControlledLigniteCombustion - Simplified,coal/lignite; transport exhaust
A_core_v0,coal,"lignite coal, fluidized bed combustor with esp",1,"Lignite Coal, Fluidized Bed Combustor with ESP-CS",coal/lignite; transport exhaust
A_core_v0,coal,"lignite coal, fluidized bed combustor with ff baghouse",1,"Lignite Coal, Fluidized Bed Combustor with FF Baghouse",coal/lignite; transport exhaust
A_core_v0,coal,petroleum coke combustion,1,Petroleum Coke Combustion,coal/lignite; transport exhaust
A_core_v0,coal,"subbituminous coal, fluidized bed combustor with sncr and ff baghouse",1,"Subbituminous Coal, Fluidized Bed Combustor with SNCR and FF Baghouse",coal/lignite; transport exhaust
A_core_v0,fuel oil/diesel,composite profile,1,Composite Profile - Diesel Exhaust - Heavy-heavy duty truck - 2011 model year,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel composition,1,Diesel composition,fuel oil
A_core_v0,fuel oil/diesel,diesel engines,1,Diesel Engines,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel exhaust emissions from 2007 model year heavy,1,Diesel Exhaust Emissions from 2007 Model Year Heavy-Duty Diesel Engines with Controls,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel exhaust emissions from tier 1 off,1,Diesel Exhaust Emissions from Tier 1 Off-road Engines,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel exhaust emissions from tier 2 off,1,Diesel Exhaust Emissions from Tier 2 Off-road Engines,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,diesel headspace vapor composite,1,Diesel Headspace Vapor Composite,fuel oil
A_core_v0,fuel oil/diesel,draft distillate oil combustion,1,Draft Distillate Oil Combustion - Simplified,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,draft hddv exhaust,1,Draft HDDV Exhaust - Simplified,fuel oil
A_core_v0,fuel oil/diesel,draft residual oil combustion,1,Draft Residual Oil Combustion - Simplified,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,"heavy duty diesel with dpf, combination of previous measurements with vbs",1,"Heavy Duty diesel with DPF, combination of previous measurements with VBS",fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,institutional boiler exhaust fueled with no. 6 fuel oil,1,Institutional boiler exhaust fueled with No. 6 fuel oil,fuel oil
A_core_v0,fuel oil/diesel,institutional boiler exhaust fueled with no. 6 oil,1,Institutional boiler exhaust fueled with No. 6 oil,fuel oil
A_core_v0,fuel oil/diesel,light,1,Light-Duty Diesel Vehicles,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,medium duty trucks,1,Medium duty trucks - diesel,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,mobile diesel,1,Mobile Diesel,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel airport ags,1,Nonroad Diesel Airport AGS,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel dpf,1,Nonroad Diesel DPF,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel non,1,Nonroad Diesel Non-DPF,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel rail,1,Nonroad Diesel Rail,fuel oil
A_core_v0,fuel oil/diesel,nonroad diesel vehicle,1,"Nonroad Diesel Vehicle (aircraft, locomotive)",fuel oil
A_core_v0,fuel oil/diesel,nonroad gasoline vehicle,1,Nonroad Gasoline Vehicle,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,nonroad marine using bunker fuel,1,Nonroad Marine using Bunker Fuel,fuel oil
A_core_v0,fuel oil/diesel,reciprocating diesel engine,1,Reciprocating Diesel Engine,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,reciprocating distillate oil engine,1,Reciprocating Distillate Oil Engine,fuel oil; transport exhaust
A_core_v0,fuel oil/diesel,unburned diesel exhaust,1,Unburned Diesel Exhaust - Tunnel Study,fuel oil; transport exhaust
A_core_v0,waste/open burning,automobile tire production,1,Automobile Tire Production,waste/open burning
A_core_v0,waste/open burning,chlorobenzene,1,Chlorobenzene - Tail Gas Scrubber,waste/open burning
A_core_v0,waste/open burning,consumer products: tire cleaners,1,Consumer Products: Tire Cleaners,waste/open burning
A_core_v0,waste/open burning,consumer products: tire sealants and inflators,1,Consumer Products: Tire Sealants And Inflators,waste/open burning
A_core_v0,waste/open burning,draft tire burning,1,Draft Tire Burning - Simplified,waste/open burning
A_core_v0,waste/open burning,"industrial point source, miles incorporated,  principle business: synthetic rubber",1,"Industrial Point Source, Miles Incorporated,  Principle Business: Synthetic Rubber - 1993",transport exhaust; waste/open burning
A_core_v0,waste/open burning,open burning,1,Open Burning - Military Waste,waste/open burning
A_core_v0,waste/open burning,organohalogens production,1,Organohalogens Production - Ethylene Dichloride - Caustic Scrubber,waste/open burning
A_core_v0,wood/biomass,catalytic woodstove burn phase and wood composite,1,Catalytic Woodstove Burn Phase and Wood Composite,residential/heating
A_core_v0,wood/biomass,catalytic woodstove burn phase composite birch,1,Catalytic Woodstove Burn Phase Composite Birch,residential/heating
A_core_v0,wood/biomass,catalytic woodstove burn phase composite spruce,1,Catalytic Woodstove Burn Phase Composite Spruce,residential/heating
A_core_v0,wood/biomass,catalytic woodstove high burn rate birch,1,Catalytic Woodstove High Burn Rate Birch,residential/heating
A_core_v0,wood/biomass,catalytic woodstove high burn rate spruce,1,Catalytic Woodstove High Burn Rate Spruce,residential/heating
A_core_v0,wood/biomass,catalytic woodstove high burn rate wood composite,1,Catalytic Woodstove High Burn Rate Wood Composite,residential/heating
A_core_v0,wood/biomass,catalytic woodstove low burn rate birch,1,Catalytic Woodstove Low Burn Rate Birch,residential/heating
A_core_v0,wood/biomass,catalytic woodstove low burn rate spruce,1,Catalytic Woodstove Low Burn Rate Spruce,residential/heating
A_core_v0,wood/biomass,catalytic woodstove low burn rate wood composite,1,Catalytic Woodstove Low Burn Rate Wood Composite,residential/heating
A_core_v0,wood/biomass,catalytic woodstove startup birch,1,Catalytic Woodstove Startup Birch,residential/heating
A_core_v0,wood/biomass,catalytic woodstove startup spruce,1,Catalytic Woodstove Startup Spruce,residential/heating
A_core_v0,wood/biomass,catalytic woodstove startup wood composite,1,Catalytic Woodstove Startup Wood Composite,residential/heating
A_core_v0,wood/biomass,coal combustion,1,Coal Combustion - Prater Creek w/biomass,coal/lignite; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: almond,1,Draft Residential Wood Combustion: Almond - Simplified,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: cedar,1,Draft Residential Wood Combustion: Cedar - Simplified,residential/heating; transport exhaust
A_core_v0,wood/biomass,draft residential wood combustion: synthetic,1,Draft Residential Wood Combustion: Synthetic - Simplified,residential/heating; transport exhaust
A_core_v0,wood/biomass,open burning dump,1,Open Burning Dump - Landscape/Pruning,waste/open burning
A_core_v0,wood/biomass,peat fire,1,Peat Fire-Smoldering-Minnesota AE6,transport exhaust; wildfire/agri biomass proxy
A_core_v0,wood/biomass,residential wood combustion (c,1,Residential Wood Combustion (C-1 - C-6),residential/heating; transport exhaust
A_core_v0,wood/biomass,rice straw burning gap,1,Rice Straw Burning Gap-filled from 4420,waste/open burning; wildfire/agri biomass proxy
A_core_v0,wood/biomass,wheat straw burning gap,1,Wheat Straw Burning Gap-filled from 4421,waste/open burning; wildfire/agri biomass proxy
B_reference_later,coal,coal,132,Coal-Fired Power Plant,coal/lignite; industrial/reference proxy
B_reference_later,wood/biomass,agriculture vegetative burning,29,Agriculture Vegetative Burning,wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning,18,Slash Burning,wildfire/agri biomass proxy
B_reference_later,wood/biomass,field burning,16,Field Burning - Composite,wildfire/agri biomass proxy
B_reference_later,wood/biomass,biomass burning,15,Biomass Burning - Savanna & Grassland,coal/lignite; wildfire/agri biomass proxy
B_reference_later,wood/biomass,forest fire,8,Forest Fire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning (conifer,8,Slash Burning (Conifer-Flaming Phase),wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning (crane,8,Slash Burning (Crane-Piled; Flaming Phase),wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning (hardwood,8,Slash Burning (Hardwood-Flaming Phase),wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning (ponderosa pine,8,Slash Burning (Ponderosa Pine-Flaming Phase),wildfire/agri biomass proxy
B_reference_later,wood/biomass,slash burning (tractor,8,Slash Burning (Tractor-Piled; Flaming Phase),wildfire/agri biomass proxy
B_reference_later,wood/biomass,wood,8,Wood-Fired Boiler,weak/false positive
B_reference_later,wood/biomass,agricultural burning,7,Agricultural Burning - Rice Straw - Thailand,wildfire/agri biomass proxy
B_reference_later,coal,cement kiln,6,Cement Kiln,coal/lignite; industrial/reference proxy
B_reference_later,wood/biomass,cement kiln,5,Cement Kiln,coal/lignite; industrial/reference proxy
B_reference_later,coal,cement kiln (coal,4,Cement Kiln (Coal-Fired),coal/lignite; industrial/reference proxy
B_reference_later,coal,uncontrolled coal,4,Uncontrolled Coal-Fired Power Plant Composite,coal/lignite; industrial/reference proxy
B_reference_later,wood/biomass,agricultural field burning,4,Agricultural Field Burning,wildfire/agri biomass proxy
B_reference_later,wood/biomass,composite profile,3,Composite Profile - Straw Burning,wildfire/agri biomass proxy
B_reference_later,coal,bituminous coal,2,Bituminous Coal-Fired Power Plant,coal/lignite; industrial/reference proxy
B_reference_later,coal,charcoal making kiln,2,Charcoal Making Kiln,coal/lignite; industrial/reference proxy
B_reference_later,fuel oil/diesel,residual oil,2,Residual Oil-Fired Power Plant,fuel oil; industrial/reference proxy
B_reference_later,wood/biomass,draft agricultural burning,2,Draft Agricultural Burning - Composite,wildfire/agri biomass proxy
B_reference_later,wood/biomass,draft slash burning,2,Draft Slash Burning - Composite,wildfire/agri biomass proxy
B_reference_later,wood/biomass,draft wildfires,2,Draft Wildfires - Composite,wildfire/agri biomass proxy
B_reference_later,wood/biomass,wildfires,2,Wildfires - Composite,wildfire/agri biomass proxy
B_reference_later,wood/biomass,wood fired boiler,2,Wood Fired Boiler - Composite,weak/false positive
B_reference_later,wood/biomass,agricultural burning composite,1,"Agricultural Burning Composite - Wheat Straw, Rice Straw and Corn Stalk - China",wildfire/agri biomass proxy
B_reference_later,wood/biomass,barley stubble field burning,1,Barley Stubble Field Burning,wildfire/agri biomass proxy
B_reference_later,wood/biomass,bear grass,1,Bear Grass - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,ceanothus,1,Ceanothus - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,"chamise, polluted site",1,"Chamise, polluted site - Laboratory Wildfire",wildfire/agri biomass proxy
B_reference_later,wood/biomass,"chamise, unpolluted site",1,"Chamise, unpolluted site - Laboratory Wildfire",wildfire/agri biomass proxy
B_reference_later,wood/biomass,douglas fir,1,Douglas Fir - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,draft wood fired boiler,1,Draft Wood Fired Boiler - Simplified,weak/false positive
B_reference_later,wood/biomass,engelmann spruce,1,Engelmann Spruce - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,jeffrey pine,1,Jeffrey Pine - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,juniper,1,Juniper - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,laboratory wildfire composite,1,Laboratory Wildfire Composite - Various non-grass fuel types,wildfire/agri biomass proxy
B_reference_later,wood/biomass,loblolly pine,1,Loblolly Pine - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,lodgepole pine,1,Lodgepole pine - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,"manzanita, polluted site",1,"Manzanita, polluted site - Laboratory Wildfire",wildfire/agri biomass proxy
B_reference_later,wood/biomass,"manzanita, unpolluted site",1,"Manzanita, unpolluted site - Laboratory Wildfire",wildfire/agri biomass proxy
B_reference_later,wood/biomass,miscellaneous burning,1,Miscellaneous Burning - Forest Fires,wildfire/agri biomass proxy
B_reference_later,wood/biomass,peat,1,Peat - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,ponderosa pine,1,Ponderosa Pine - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,rice straw,1,Rice Straw - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,rice straw and wheat straw burning composite of g4420 and g4421,1,Rice Straw and Wheat Straw Burning Composite of G4420 and G4421,wildfire/agri biomass proxy
B_reference_later,wood/biomass,rice straw burning,1,Rice Straw Burning,wildfire/agri biomass proxy
B_reference_later,wood/biomass,sage,1,Sage - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,subalpine fir,1,Subalpine Fir - Laboratory Wildfire,wildfire/agri biomass proxy
B_reference_later,wood/biomass,wheat straw burning,1,Wheat Straw Burning,wildfire/agri biomass proxy
C_drop,waste/open burning,transportation composite,20,Transportation Composite,transport exhaust; waste/open burning
C_drop,coal,oil and natural gas production,15,Oil and Natural Gas Production - Produced Water Pond,coal/lignite
C_drop,waste/open burning,tire wear,13,Tire Wear,waste/open burning
C_drop,wood/biomass,wood products,10,Wood Products - Sander dust,weak/false positive
C_drop,coal,coal combustion,9,Coal Combustion - Fly Ash - Subbituminous Coal - Ultrafine,coal/lignite; transport exhaust
C_drop,coal,cooking,9,Cooking,coal/lignite
C_drop,waste/open burning,tire dust,8,Tire Dust - Composite,waste/open burning
C_drop,wood/biomass,hogged fuel boiler / plywood manufacturing,8,Hogged Fuel Boiler / Plywood Manufacturing,weak/false positive
C_drop,wood/biomass,particle board dryer,8,Particle Board Dryer,weak/false positive
C_drop,coal,charcoal manufacturing,6,Charcoal Manufacturing,coal/lignite
C_drop,fuel oil/diesel,external combustion,6,External Combustion - Pulp and Paper Mills Kraft Process Recovery Boiler,fuel oil; industrial/reference proxy; transport exhaust
C_drop,fuel oil/diesel,unpaved park dust,6,Unpaved Park Dust,fuel oil
C_drop,wood/biomass,indoor open wood cooking fire,5,Indoor Open Wood Cooking Fire,weak/false positive
C_drop,wood/biomass,prescribed burning,5,Prescribed Burning - Composite,weak/false positive
C_drop,coal,"bituminous coal, pc boiler with esp",4,"Bituminous Coal, PC Boiler with ESP-CS",coal/lignite
C_drop,coal,coal,4,Coal-Fired Power Utility Fly Ash (Srm 1633),coal/lignite; industrial/reference proxy
C_drop,coal,coal dust,4,Coal Dust,coal/lignite
C_drop,coal,fly ash,4,Fly Ash,coal/lignite; industrial/reference proxy
C_drop,coal,"subbituminous coal, pc boiler with esp",4,"Subbituminous Coal, PC Boiler with ESP-CS",coal/lignite
C_drop,fuel oil/diesel,transportation composite,4,"Transportation Composite - Medford, OR (1980)",fuel oil; transport exhaust
C_drop,waste/open burning,antimony oxide plant,4,Antimony Oxide Plant - Antimony Roasting,waste/open burning
C_drop,waste/open burning,phosphoric acid plant,4,Phosphoric Acid Plant,waste/open burning
C_drop,wood/biomass,cooking,4,Cooking,coal/lignite
C_drop,wood/biomass,forest prescribed burning,4,Forest Prescribed Burning - Broadcast Conifer,weak/false positive
C_drop,wood/biomass,particleboard dryer / direct,4,Particleboard Dryer / Direct - Fired,weak/false positive
C_drop,wood/biomass,sawdust,4,Sawdust,weak/false positive
C_drop,wood/biomass,soil dust,4,"Soil Dust - Bend, Oregon",weak/false positive
C_drop,wood/biomass,vegetative detritus,4,Vegetative Detritus,weak/false positive
C_drop,wood/biomass,veneer dryer,4,Veneer Dryer,weak/false positive
C_drop,wood/biomass,veneer dryer / steam,4,Veneer Dryer / Steam - Heated,weak/false positive
C_drop,wood/biomass,veneer dryer / wood,4,Veneer Dryer / Wood - Fired,weak/false positive
C_drop,wood/biomass,wood sander dust,4,Wood Sander Dust,weak/false positive
C_drop,coal,"lignite coal, pc boiler with esp",3,"Lignite Coal, PC Boiler with ESP-CS",coal/lignite
C_drop,coal,oil and gas,3,Oil and Gas -Powder River Basin Produced Gas Composition from CBM Wells,coal/lignite
C_drop,waste/open burning,styrene,3,Styrene - General,waste/open burning
C_drop,wood/biomass,composite profile,3,Composite Profile - Prescribed fire southeast conifer forest,weak/false positive
C_drop,wood/biomass,paved road dust,3,Paved Road Dust,weak/false positive
